,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
3091005,34568010,2019-06-30,t,$109.00,$109.00,1,1125
3091462,34568119,2019-06-25,t,$143.00,$143.00,1,1124
3091463,34568119,2019-06-26,t,$143.00,$143.00,1,1124
3091464,34568119,2019-06-27,t,$143.00,$143.00,1,1124
3091467,34568119,2019-06-30,t,$164.00,$164.00,1,1124
3091830,34568153,2019-06-28,t,$229.00,$229.00,1,1125
3091831,34568153,2019-06-29,t,$229.00,$229.00,1,1125
3091832,34568153,2019-06-30,t,$109.00,$109.00,1,1125
3092192,34568395,2019-06-25,t,$152.00,$129.00,1,1125
3092193,34568395,2019-06-26,t,$152.00,$129.00,1,1125
3092194,34568395,2019-06-27,t,$152.00,$129.00,1,1125
3092774,34652915,2019-06-25,t,$79.00,$79.00,2,365
3092775,34652915,2019-06-26,t,$79.00,$79.00,2,365
3092776,34652915,2019-06-27,t,$79.00,$79.00,2,365
3092777,34652915,2019-06-28,t,$138.00,$138.00,2,365
3092778,34652915,2019-06-29,t,$89.00,$89.00,2,365
3092779,34652915,2019-06-30,t,$89.00,$89.00,2,365
3093748,34653192,2019-06-25,t,$89.00,$89.00,1,14
3093749,34653192,2019-06-26,t,$89.00,$89.00,1,14
3093750,34653192,2019-06-27,t,$219.00,$219.00,1,14
3093751,34653192,2019-06-28,t,$349.00,$349.00,1,14
3093752,34653192,2019-06-29,t,$349.00,$349.00,1,14
3093753,34653192,2019-06-30,t,$169.00,$169.00,1,14
3094108,34569262,2019-06-25,t,$138.00,$138.00,1,1124
3094109,34569262,2019-06-26,t,$138.00,$138.00,1,1124
3094113,34569262,2019-06-30,t,$154.00,$154.00,1,1124
3094529,34656108,2019-06-26,t,$39.00,$39.00,1,1125
3094533,34656108,2019-06-30,t,$70.00,$70.00,1,1125
3095569,34671352,2019-06-28,t,$60.00,$60.00,7,7
3095604,34570013,2019-06-26,t,$46.00,$46.00,1,2
3095969,34571772,2019-06-26,t,$165.00,$165.00,1,1125
3095970,34571772,2019-06-27,t,$165.00,$165.00,1,1125
3095971,34571772,2019-06-28,t,$165.00,$165.00,1,1125
